,add,bases,confidence,support,union
0,frozenset({'É°ÈÊ'}),frozenset({'ôï³´°×Êõ'}),0.555555556,0.344827586,"frozenset({'ôï³´°×Êõ', 'É°ÈÊ'})"
1,frozenset({'ôï³´°×Êõ'}),frozenset({'É°ÈÊ'}),0.638297872,0.344827586,"frozenset({'É°ÈÊ', 'ôï³´°×Êõ'})"
2,frozenset({'É°ÈÊ'}),frozenset({'ÜòÜß'}),0.515151515,0.390804598,"frozenset({'É°ÈÊ', 'ÜòÜß'})"
3,frozenset({'ÜòÜß'}),frozenset({'É°ÈÊ'}),0.723404255,0.390804598,"frozenset({'É°ÈÊ', 'ÜòÜß'})"
4,frozenset({'É°ÈÊ'}),frozenset({'³ÂÆ¤'}),0.5625,0.413793103,"frozenset({'É°ÈÊ', '³ÂÆ¤'})"
5,frozenset({'³ÂÆ¤'}),frozenset({'É°ÈÊ'}),0.765957447,0.413793103,"frozenset({'É°ÈÊ', '³ÂÆ¤'})"
6,frozenset({'ÜòÜß'}),frozenset({'è×¿Ç'}),0.853658537,0.402298851,"frozenset({'ÜòÜß', 'è×¿Ç'})"
7,frozenset({'è×¿Ç'}),frozenset({'ÜòÜß'}),0.53030303,0.402298851,"frozenset({'ÜòÜß', 'è×¿Ç'})"
8,frozenset({'ÜòÜß'}),frozenset({'·¨°ëÏÄ'}),0.897435897,0.402298851,"frozenset({'ÜòÜß', '·¨°ëÏÄ'})"
9,frozenset({'·¨°ëÏÄ'}),frozenset({'ÜòÜß'}),0.53030303,0.402298851,"frozenset({'ÜòÜß', '·¨°ëÏÄ'})"
10,frozenset({'ÜòÜß'}),frozenset({'ÃÛ¸Ê²İ'}),0.756097561,0.356321839,"frozenset({'ÜòÜß', 'ÃÛ¸Ê²İ'})"
11,frozenset({'³ÂÆ¤'}),frozenset({'è×¿Ç'}),0.780487805,0.367816092,"frozenset({'³ÂÆ¤', 'è×¿Ç'})"
12,frozenset({'è×¿Ç'}),frozenset({'³ÂÆ¤'}),0.5,0.367816092,"frozenset({'³ÂÆ¤', 'è×¿Ç'})"
13,frozenset({'·¨°ëÏÄ'}),frozenset({'³ÂÆ¤'}),0.578125,0.425287356,"frozenset({'·¨°ëÏÄ', '³ÂÆ¤'})"
14,frozenset({'³ÂÆ¤'}),frozenset({'·¨°ëÏÄ'}),0.948717949,0.425287356,"frozenset({'·¨°ëÏÄ', '³ÂÆ¤'})"
15,frozenset({'ÜòÜß'}),frozenset({'³ÂÆ¤'}),0.84375,0.620689655,"frozenset({'ÜòÜß', '³ÂÆ¤'})"
16,frozenset({'³ÂÆ¤'}),frozenset({'ÜòÜß'}),0.818181818,0.620689655,"frozenset({'ÜòÜß', '³ÂÆ¤'})"
